Date,AAPL,AUTO.L,MU,NVDA,OCDO.L,SGE.L,TSM
2024-11-20,227.5461883544922,801.64306640625,97.86527252197266,145.6623992919922,304.70001220703125,1269.0030517578125,184.315185546875
2024-11-21,227.06924438476562,809.0416259765625,102.23274230957031,146.44119262695312,306.70001220703125,1265.004638671875,187.13336181640625
2024-11-22,228.41065979003906,829.8375244140625,102.11335754394531,141.72854614257812,306.1000061035156,1285.49658203125,185.99827575683594
2024-11-25,231.39161682128906,832.636962890625,103.94393157958984,135.80780029296875,329.29998779296875,1294.4930419921875,181.1056365966797
2024-11-26,233.56771850585938,831.4371948242188,101.27767944335938,136.70639038085938,321.79998779296875,1309.9869384765625,179.8922576904297
2024-11-27,233.43853759765625,835.83642578125,97.69613647460938,135.1288604736328,325.0,1302.4901123046875,177.2991485595703
2024-11-28,233.43853759765625,845.4344482421875,97.69613647460938,135.1288604736328,318.3999938964844,1307.4879150390625,177.2991485595703
2024-11-29,235.8233184814453,838.8357543945312,97.44742584228516,138.03433227539062,315.6000061035156,1311.4864501953125,180.69464111328125
2024-12-02,238.06893920898438,833.2368774414062,98.04435729980469,138.41371154785156,313.5,1313.9854736328125,190.22547912597656
2024-12-03,241.10952758789062,839.0357666015625,99.32772827148438,140.04119873046875,307.6000061035156,1298.9913330078125,194.6190948486328
2024-12-04,241.46725463867188,843.8347778320312,102.67048645019531,144.91354370117188,316.5,1303.4896240234375,196.3804168701172
2024-12-05,241.49705505371094,838.2359008789062,100.3524398803711,144.8436737060547,313.79998779296875,1308.4876708984375,199.91290283203125
2024-12-06,241.29830932617188,844.8345947265625,100.65089416503906,142.2275848388672,317.5,1315.48486328125,198.66041564941406
2024-12-09,245.18350219726562,826.63818359375,102.29243469238281,138.6029815673828,316.0,1302.4901123046875,194.89306640625
2024-12-10,246.19703674316406,824.2386474609375,97.5966567993164,134.86859130859375,313.8999938964844,1299.4910888671875,187.81832885742188
2024-12-11,244.9251708984375,823.8387451171875,101.53633117675781,139.10223388671875,311.79998779296875,1288.9951171875,190.4211883544922
2024-12-12,246.38583374023438,818.439697265625,97.73593139648438,137.1351776123047,315.0,1305.9886474609375,187.94357299804688
2024-12-13,246.55474853515625,817.239990234375,101.97409057617188,134.0498046875,311.8999938964844,1306.9881591796875,197.29855346679688
2024-12-16,249.44627380371094,814.8404541015625,107.70452117919922,131.8031463623047,312.5,1298.4915771484375,198.50595092773438
2024-12-17,251.87075805664062,807.0420532226562,108.04278564453125,130.195556640625,305.29998779296875,1304.4891357421875,196.974609375
2024-12-18,246.47525024414062,801.64306640625,103.36689758300781,128.71775817871094,302.70001220703125,1322.482177734375,191.96826171875
2024-12-19,248.20420837402344,792.44482421875,86.64315032958984,130.48509216308594,296.20001220703125,1304.9888916015625,191.06515502929688
2024-12-20,252.87440490722656,786.64599609375,89.65760803222656,134.49911499023438,305.0,1289.4951171875,193.58795166015625
2024-12-23,253.64944458007812,784.0465087890625,89.25965881347656,139.4617156982422,310.3999938964844,1288.4954833984375,203.55154418945312
2024-12-24,256.56085205078125,793.6445922851562,88.82191467285156,140.0109100341797,312.70001220703125,1291.9940185546875,202.5404510498047
2024-12-26,257.3755798339844,793.6445922851562,89.359130859375,139.72132873535156,312.70001220703125,1291.9940185546875,199.3304901123047
2024-12-27,253.96739196777344,791.2451171875,88.17524719238281,136.8056640625,303.70001220703125,1290.4947509765625,197.92677307128906
